"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 14 16:32:10 CST 2021","Thu Jan 14 16:32:11 CST 2021","1075","TestCases.test_logincase","test_login","Test_Login","","","test_login_usernameNull_error",""
"passed","Thu Jan 14 16:32:15 CST 2021","Thu Jan 14 16:32:19 CST 2021","3724","TestCases.test_logincase","test_login","Test_Login","","","test_login_pwdFormat_error",""
"passed","Thu Jan 14 16:32:11 CST 2021","Thu Jan 14 16:32:15 CST 2021","3826","TestCases.test_logincase","test_login","Test_Login","","","test_login_usernameFormat_error",""
"passed","Thu Jan 14 16:32:19 CST 2021","Thu Jan 14 16:32:31 CST 2021","11761","TestCases.test_logincase","test_login","Test_Login","","","test_login_success",""
