"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 14 14:33:32 CST 2021","Thu Jan 14 14:34:11 CST 2021","39002","TestCases.test_logincase","test_login","Test_Login","","","test_login_usernameFormat_error",""
"passed","Thu Jan 14 14:34:47 CST 2021","Thu Jan 14 14:34:59 CST 2021","11866","TestCases.test_logincase","test_login","Test_Login","","","test_login_success",""
"passed","Thu Jan 14 14:34:11 CST 2021","Thu Jan 14 14:34:47 CST 2021","35430","TestCases.test_logincase","test_login","Test_Login","","","test_login_pwdFormat_error",""
