"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 14 16:18:16 CST 2021","Thu Jan 14 16:18:16 CST 2021","381","TestCases.test_logincase","test_login","Test_Login","","","test_login_success",""
"broken","Thu Jan 14 16:18:11 CST 2021","Thu Jan 14 16:18:15 CST 2021","3692","TestCases.test_logincase","test_login","Test_Login","","","test_login_usernameNull_error",""
"broken","Thu Jan 14 16:18:16 CST 2021","Thu Jan 14 16:18:16 CST 2021","237","TestCases.test_logincase","test_login","Test_Login","","","test_login_pwdFormat_error",""
"broken","Thu Jan 14 16:18:15 CST 2021","Thu Jan 14 16:18:16 CST 2021","370","TestCases.test_logincase","test_login","Test_Login","","","test_login_usernameFormat_error",""
