"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 14 14:29:45 CST 2021","Thu Jan 14 14:29:49 CST 2021","4005","TestCases.test_logincase","test_login","Test_Login","","","test_login_success",""
"broken","Thu Jan 14 14:29:36 CST 2021","Thu Jan 14 14:29:40 CST 2021","4102","TestCases.test_logincase","test_login","Test_Login","","","test_login_usernameFormat_error",""
"broken","Thu Jan 14 14:29:40 CST 2021","Thu Jan 14 14:29:44 CST 2021","4024","TestCases.test_logincase","test_login","Test_Login","","","test_login_pwdFormat_error",""
