"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jan 14 16:09:24 CST 2021","Thu Jan 14 16:09:24 CST 2021","377","TestCases.test_logincase","test_login","Test_Login","","","test_login_pwdFormat_error",""
"failed","Thu Jan 14 16:09:20 CST 2021","Thu Jan 14 16:09:23 CST 2021","3845","TestCases.test_logincase","test_login","Test_Login","","","test_login_usernameFormat_error",""
"failed","Thu Jan 14 16:09:24 CST 2021","Thu Jan 14 16:09:24 CST 2021","241","TestCases.test_logincase","test_login","Test_Login","","","test_login_success",""
