"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 14 16:20:38 CST 2021","Thu Jan 14 16:20:38 CST 2021","14","TestCases.test_logincase","test_login","Test_Login","","","test_login_success",""
"broken","Thu Jan 14 16:20:38 CST 2021","Thu Jan 14 16:20:38 CST 2021","34","TestCases.test_logincase","test_login","Test_Login","","","test_login_pwdFormat_error",""
"broken","Thu Jan 14 16:20:30 CST 2021","Thu Jan 14 16:20:34 CST 2021","3786","TestCases.test_logincase","test_login","Test_Login","","","test_login_usernameNull_error",""
"passed","Thu Jan 14 16:20:34 CST 2021","Thu Jan 14 16:20:38 CST 2021","3826","TestCases.test_logincase","test_login","Test_Login","","","test_login_usernameFormat_error",""
