"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 14 14:32:20 CST 2021","Thu Jan 14 14:32:20 CST 2021","0","TestCases.test_logincase","test_login","Test_Login","","","test_login_usernameFormat_error",""
"broken","Thu Jan 14 14:32:26 CST 2021","Thu Jan 14 14:32:26 CST 2021","0","TestCases.test_logincase","test_login","Test_Login","","","test_login_pwdFormat_error",""
"broken","Thu Jan 14 14:32:26 CST 2021","Thu Jan 14 14:32:26 CST 2021","0","TestCases.test_logincase","test_login","Test_Login","","","test_login_success",""
